pecha id,language,url
P85C88B88,sa,https://github.com/OpenPecha/P85C88B88
PFAECAD82,zh,https://github.com/OpenPecha/PFAECAD82
P2BD1DFD4,zh,https://github.com/OpenPecha/P2BD1DFD4
PD70F874D,zh,https://github.com/OpenPecha/PD70F874D
PB72620F7,zh,https://github.com/OpenPecha/PB72620F7
P2E96B99A,zh,https://github.com/OpenPecha/P2E96B99A
PD5442D51,zh,https://github.com/OpenPecha/PD5442D51
P4988EAFD,zh,https://github.com/OpenPecha/P4988EAFD
PA907F740,bo,https://github.com/OpenPecha/PA907F740
P8842EBE2,en,https://github.com/OpenPecha/P8842EBE2
